title,artist,genre,year,bpm,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,popularity
Senorita,Shawn Mendes,canadian pop,2019,117,54,76,-6,9,75,191,5,3,95
How Do You Sleep?,Sam Smith,pop,2019,111,68,48,-5,8,35,202,16,9,93
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98,62,86,-6,9,67,204,16,8,92
Trampoline (with ZAYN),SHAED,electropop,2019,127,46,62,-6,14,50,184,57,3,92
Happier,Marshmello,brostep,2019,100,79,69,-3,17,67,214,20,5,90
Truth Hurts,Lizzo,escape room,2019,158,62,72,-3,12,41,173,12,11,90
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96,89,67,-3,74,48,159,31,6,90
Higher Love,Kygo,edm,2019,104,68,69,-7,10,40,228,3,3,88
Only Human,Jonas Brothers,boy band,2019,94,50,80,-6,6,87,183,12,7,87
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93,65,64,-8,8,55,198,13,19,86
Sucker,Jonas Brothers,boy band,2019,138,73,84,-5,11,95,181,5,6,86
Don't Call Me Up,Mabel,dance pop,2019,99,88,67,-3,8,23,178,31,15,86
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102,68,80,-5,9,84,220,10,4,85
Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,40,90,-9,6,35,198,6,13,84
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,122,89,81,-4,8,61,229,3,4,84
Takeaway,The Chainsmokers,electropop,2019,100,51,53,-8,10,35,210,14,3,83
All Around The World (La La La),R3HAB,big room,2019,125,86,73,-5,11,52,148,49,3,82
Girls Like You (feat. Cardi B),Maroon 5,pop,2019,125,54,85,-7,13,45,236,58,5,81
Call You Mine,The Chainsmokers,electropop,2019,104,70,59,-6,34,52,218,21,3,81
No Guidance (feat. Drake),Chris Brown,dance pop,2019,93,45,70,-7,16,14,261,13,15,81
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152,82,72,-5,36,91,162,14,5,78
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96,80,84,-4,6,62,213,17,23,77
Con Calma - Remix,Daddy Yankee,latin,2019,94,87,74,-3,4,61,181,18,5,76
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,104,66,61,-7,20,16,176,2,3,75
